video_file,positive_audio_file,negative_audio_file,mood,positive_score,negative_score,negative_type
pexels_dataset_v2\energetic\energetic_35569745.mp4,jamendo_dataset_trimmed\energetic\energetic_354778.wav,jamendo_dataset_trimmed\happy\happy_1299248.wav,energetic,1.1298130255547494,0.5342482124292394,hard
pexels_dataset_v2\energetic\energetic_35569745.mp4,jamendo_dataset_trimmed\energetic\energetic_354778.wav,jamendo_dataset_trimmed\relaxing\relaxing_1393688.wav,energetic,1.1298130255547494,-0.1555015216225034,easy
pexels_dataset_v2\energetic\energetic_35569745.mp4,jamendo_dataset_trimmed\energetic\energetic_9881.wav,jamendo_dataset_trimmed\happy\happy_1331970.wav,energetic,1.1166371795252346,0.4777210995501205,hard
pexels_dataset_v2\energetic\energetic_35569745.mp4,jamendo_dataset_trimmed\energetic\energetic_9881.wav,jamendo_dataset_trimmed\relaxing\relaxing_196219.wav,energetic,1.1166371795252346,-0.086071483942758,easy
pexels_dataset_v2\energetic\energetic_16433718.mp4,jamendo_dataset_trimmed\energetic\energetic_6179.wav,jamendo_dataset_trimmed\happy\happy_1436621.wav,energetic,1.1071902437829473,0.5815246183347634,hard
pexels_dataset_v2\energetic\energetic_16433718.mp4,jamendo_dataset_trimmed\energetic\energetic_6179.wav,jamendo_dataset_trimmed\relaxing\atlasaudio-piano-relaxing-510242 (1).wav,energetic,1.1071902437829473,-0.048222917660021,easy
pexels_dataset_v2\energetic\energetic_16433718.mp4,jamendo_dataset_trimmed\energetic\energetic_1241876.wav,jamendo_dataset_trimmed\happy\happy_1132203.wav,energetic,1.0982714778234193,0.5915812425254284,hard
pexels_dataset_v2\energetic\energetic_16433718.mp4,jamendo_dataset_trimmed\energetic\energetic_1241876.wav,jamendo_dataset_trimmed\relaxing\relaxing_1568720.wav,energetic,1.0982714778234193,-0.0628943530479449,easy
pexels_dataset_v2\energetic\energetic_7348382.mp4,jamendo_dataset_trimmed\energetic\energetic_1111548.wav,jamendo_dataset_trimmed\happy\happy_1342712.wav,energetic,1.1375060278894933,0.4450301317418096,hard
pexels_dataset_v2\energetic\energetic_7348382.mp4,jamendo_dataset_trimmed\energetic\energetic_1111548.wav,jamendo_dataset_trimmed\melancholic\back_drop-dark-ambient-background-music-highway-251310.wav,energetic,1.1375060278894933,-0.1143080332310724,easy
pexels_dataset_v2\energetic\energetic_7348382.mp4,jamendo_dataset_trimmed\energetic\energetic_1879169.wav,jamendo_dataset_trimmed\happy\nastelbom-happy-mood-463426.wav,energetic,1.100513334205213,0.4223985064186953,hard
